id,timestamp,package_name,storybook_title,storybook_id,learning_event_type,additional_data
306,1607633712000,ai.elimu.vitabu,Ang Aming Pamilya,2,STORYBOOK_OPENED,
305,1607633938000,ai.elimu.vitabu,Ang Aming Pamilya,2,STORYBOOK_OPENED,
328,1607886021000,ai.elimu.vitabu,Ano Kaya Ako Ngayon?,19,STORYBOOK_OPENED,
327,1607886152000,ai.elimu.vitabu,Nasaan si Lulu?,23,STORYBOOK_OPENED,
343,1608489449000,ai.elimu.vitabu,Kaya Ko Ba o Hindi?,36,STORYBOOK_OPENED,
360,1610063563000,ai.elimu.vitabu,Gustong Magbihis ni Nin,37,STORYBOOK_OPENED,
361,1610139875000,ai.elimu.vitabu,Ano Kaya Ako Ngayon?,19,STORYBOOK_OPENED,
366,1614080887000,ai.elimu.vitabu,Green Star,22,STORYBOOK_OPENED,
367,1615060676000,ai.elimu.vitabu,Ano Kaya Ako Ngayon?,19,STORYBOOK_OPENED,
369,1615498228000,ai.elimu.vitabu,Ang Bagong Sumbrero ni Bountong,43,STORYBOOK_OPENED,
368,1615498278000,ai.elimu.vitabu,Sino ang Tutulong sa Akin?,26,STORYBOOK_OPENED,
372,1616095831000,ai.elimu.vitabu,Ang mga Mabituing Hiling ni Palaka,20,STORYBOOK_OPENED,
371,1616096359000,ai.elimu.vitabu,Ang mga Mabituing Hiling ni Palaka,20,STORYBOOK_OPENED,
370,1616096402000,ai.elimu.vitabu,Ano Kaya Ako Ngayon?,19,STORYBOOK_OPENED,
373,1617994489000,ai.elimu.vitabu,Ang Aming Pamilya,2,STORYBOOK_OPENED,
374,1621969533000,ai.elimu.vitabu,Ano Kaya Ako Ngayon?,19,STORYBOOK_OPENED,
375,1624970486000,ai.elimu.vitabu,Ano Kaya Ako Ngayon?,19,STORYBOOK_OPENED,
376,1629722299000,ai.elimu.vitabu,Ano Kaya Ako Ngayon?,19,STORYBOOK_OPENED,
