id,timestamp,package_name,additional_data,research_experiment,experiment_group,number_value,number_symbol,number_id
1,1751020730,ai.elimu.calculator.debug,,0,1,5,,0.0
2,1751020733,ai.elimu.calculator.debug,,0,1,4,,0.0
3,1751020738,ai.elimu.calculator.debug,,0,1,3,,0.0
4,1751020742,ai.elimu.calculator.debug,,0,1,2,,0.0
5,1751020759,ai.elimu.calculator.debug,,0,1,2,,0.0
9,1751275091,ai.elimu.calculator.debug,,0,1,2,,0.0
10,1751275093,ai.elimu.calculator.debug,,0,1,3,,0.0
11,1751275104,ai.elimu.calculator.debug,,0,1,4,,0.0
12,1751275115,ai.elimu.calculator.debug,,0,1,5,,0.0
13,1751275129,ai.elimu.calculator.debug,,0,1,4,,0.0
14,1751275131,ai.elimu.calculator.debug,,0,1,4,,0.0
15,1751275141,ai.elimu.calculator.debug,,0,1,0,,0.0
16,1751275146,ai.elimu.calculator.debug,,0,1,1,,0.0
17,1751275147,ai.elimu.calculator.debug,,0,1,2,,0.0
18,1751275154,ai.elimu.calculator.debug,,0,1,1,,0.0
19,1751275156,ai.elimu.calculator.debug,,0,1,2,,0.0
20,1751275190,ai.elimu.calculator.debug,,0,1,4,,0.0
21,1751275193,ai.elimu.calculator.debug,,0,1,2,,0.0
22,1751275210,ai.elimu.calculator.debug,,0,1,2,,0.0
23,1751275213,ai.elimu.calculator.debug,,0,1,2,,0.0
24,1751275215,ai.elimu.calculator.debug,,0,1,3,,0.0
25,1751275218,ai.elimu.calculator.debug,,0,1,1,,0.0
26,1751275225,ai.elimu.calculator.debug,,0,1,2,,0.0
27,1751275266,ai.elimu.calculator.debug,,0,1,2,,0.0
28,1751275287,ai.elimu.calculator.debug,,0,1,2,,0.0
29,1751275296,ai.elimu.calculator.debug,,0,1,6,,0.0
30,1751275297,ai.elimu.calculator.debug,,0,1,4,,0.0
31,1751275298,ai.elimu.calculator.debug,,0,1,3,,0.0
32,1751275299,ai.elimu.calculator.debug,,0,1,2,,0.0
33,1751275304,ai.elimu.calculator.debug,,0,1,7,,0.0
34,1751610361,ai.elimu.calculator.debug,,0,1,5,,
35,1752830050,ai.elimu.calculator.debug,,0,1,2,,
36,1752830053,ai.elimu.calculator.debug,,0,1,3,,
41,1753947778,ai.elimu.calculator.debug,,0,1,1,,
42,1753947779,ai.elimu.calculator.debug,,0,1,2,,
43,1753947998,ai.elimu.calculator.debug,,0,1,1,,
44,1753948000,ai.elimu.calculator.debug,,0,1,2,,
45,1753948012,ai.elimu.calculator.debug,,0,1,1,,
46,1753948019,ai.elimu.calculator.debug,,0,1,5,,
47,1753948022,ai.elimu.calculator.debug,,0,1,3,,
48,1754144426,ai.elimu.calculator.debug,,0,1,4,,
49,1754144428,ai.elimu.calculator.debug,,0,1,2,,
50,1759241188,ai.elimu.calculator.debug,,0,1,1,,
51,1759241191,ai.elimu.calculator.debug,,0,1,2,,
52,1759303078,ai.elimu.calculator.debug,,0,1,5,,
53,1759303080,ai.elimu.calculator.debug,,0,1,4,,
